"","Year","Month","Rain","Site","Spring"
"127","2006","7",53.6,"Ararat",1
"128","2006","8",36.4,"Ararat",1
"129","2006","9",38.2,"Ararat",1
"130","2006","10",6,"Ararat",1
"131","2006","11",17.8,"Ararat",1
"132","2006","12",14.2,"Ararat",1
"133","2007","1",95.2,"Ararat",0
"134","2007","2",16,"Ararat",0
"135","2007","3",14,"Ararat",0
"136","2007","4",60,"Ararat",0
"137","2007","5",101.6,"Ararat",0
"138","2007","6",23.4,"Ararat",0
"139","2007","7",86.8,"Ararat",1
"140","2007","8",24.4,"Ararat",1
"141","2007","9",30.4,"Ararat",1
"142","2007","10",14.2,"Ararat",1
"143","2007","11",81,"Ararat",1
"144","2007","12",43,"Ararat",1
"145","2008","1",41,"Ararat",0
"146","2008","2",7.4,"Ararat",0
"147","2008","3",23.2,"Ararat",0
"148","2008","4",19,"Ararat",0
"149","2008","5",41,"Ararat",0
"150","2008","6",37.6,"Ararat",0
"151","2008","7",64.8,"Ararat",1
"152","2008","8",51.2,"Ararat",1
"153","2008","9",41.2,"Ararat",1
"154","2008","10",6.4,"Ararat",1
"155","2008","11",32.8,"Ararat",1
"156","2008","12",66.4,"Ararat",1
"157","2009","1",1,"Ararat",0
"158","2009","2",1.8,"Ararat",0
"159","2009","3",24.4,"Ararat",0
"160","2009","4",29.2,"Ararat",0
"161","2009","5",53.8,"Ararat",0
"162","2009","6",59.6,"Ararat",0
"163","2009","7",71.6,"Ararat",1
"164","2009","8",68.8,"Ararat",1
"165","2009","9",84.8,"Ararat",1
"166","2009","10",26.8,"Ararat",1
"167","2009","11",67.1,"Ararat",1
"168","2009","12",35.8,"Ararat",1
"169","2010","1",34,"Ararat",0
"170","2010","2",47,"Ararat",0
"171","2010","3",47.6,"Ararat",0
"172","2010","4",55.4,"Ararat",0
"173","2010","5",23.3,"Ararat",0
"174","2010","6",46.2,"Ararat",0
"175","2010","7",57.2,"Ararat",1
"176","2010","8",152,"Ararat",1
"177","2010","9",62.6,"Ararat",1
"178","2010","10",91.2,"Ararat",1
"179","2010","11",88.3,"Ararat",1
"180","2010","12",105.5,"Ararat",1
"181","2011","1",178,"Ararat",0
"182","2011","2",75.2,"Ararat",0
"183","2011","3",25,"Ararat",0
"184","2011","4",38.8,"Ararat",0
"185","2011","5",43.4,"Ararat",0
"186","2011","6",25.2,"Ararat",0
"187","2011","7",57.6,"Ararat",1
"188","2011","8",50.9,"Ararat",1
"189","2011","9",15.4,"Ararat",1
"190","2011","10",45.8,"Ararat",1
"191","2011","11",47.6,"Ararat",1
"192","2011","12",49.6,"Ararat",1
"193","2012","1",18.6,"Ararat",0
"194","2012","2",8.6,"Ararat",0
"195","2012","3",53.4,"Ararat",0
"196","2012","4",33.2,"Ararat",0
"197","2012","5",31.1,"Ararat",0
"198","2012","6",70.4,"Ararat",0
"199","2012","7",78.5,"Ararat",1
"200","2012","8",78.5,"Ararat",1
"201","2012","9",49.7,"Ararat",1
"202","2012","10",24.3,"Ararat",1
"203","2012","11",20.1,"Ararat",1
"204","2012","12",37,"Ararat",1
"205","2013","1",0.3,"Ararat",0
"206","2013","2",30.8,"Ararat",0
"207","2013","3",10.8,"Ararat",0
"208","2013","4",9,"Ararat",0
"209","2013","5",41,"Ararat",0
"210","2013","6",48.1,"Ararat",0
"211","2013","7",67.1,"Ararat",1
"212","2013","8",80.2,"Ararat",1
"213","2013","9",41.8,"Ararat",1
"214","2013","10",69,"Ararat",1
"215","2013","11",24.8,"Ararat",1
"216","2013","12",16.4,"Ararat",1
"217","2014","1",12.6,"Ararat",0
"218","2014","2",4.2,"Ararat",0
"219","2014","3",10.9,"Ararat",0
"220","2014","4",59.5,"Ararat",0
"221","2014","5",39.4,"Ararat",0
"222","2014","6",77.8,"Ararat",0
"223","2014","7",60.3,"Ararat",1
"224","2014","8",30,"Ararat",1
"225","2014","9",26.6,"Ararat",1
"226","2014","10",18.3,"Ararat",1
"227","2014","11",37.4,"Ararat",1
"228","2014","12",26.9,"Ararat",1
"229","2015","1",72.1,"Ararat",0
"230","2015","2",8.5,"Ararat",0
"231","2015","3",17,"Ararat",0
"232","2015","4",36.5,"Ararat",0
"233","2015","5",52.4,"Ararat",0
"234","2015","6",51.3,"Ararat",0
"235","2015","7",57.8,"Ararat",1
"236","2015","8",36,"Ararat",1
"237","2015","9",50.4,"Ararat",1
"238","2015","10",2.7,"Ararat",1
"239","2015","11",31.8,"Ararat",1
"240","2015","12",30,"Ararat",1
"241","2016","1",50.6,"Ararat",0
"242","2016","2",31.1,"Ararat",0
"243","2016","3",31.4,"Ararat",0
"244","2016","4",13.4,"Ararat",0
"245","2016","5",120.7,"Ararat",0
"246","2016","6",66.4,"Ararat",0
"247","2016","7",51.4,"Ararat",1
"248","1996","1",8.6,"Avalon",0
"249","1996","2",35.2,"Avalon",0
"250","1996","3",42.6,"Avalon",0
"251","1996","4",26.6,"Avalon",0
"252","1996","5",18.6,"Avalon",0
"253","1996","6",43.6,"Avalon",0
"254","1996","7",74.6,"Avalon",1
"255","1996","8",39.6,"Avalon",1
"256","1996","9",85,"Avalon",1
"257","1996","10",30.2,"Avalon",1
"258","1996","11",22.6,"Avalon",1
"259","1996","12",13.8,"Avalon",1
"260","1997","1",11.4,"Avalon",0
"261","1997","2",2.2,"Avalon",0
"262","1997","3",11,"Avalon",0
"263","1997","4",2,"Avalon",0
"264","1997","5",40,"Avalon",0
"265","1997","6",19,"Avalon",0
"266","1997","7",7.2,"Avalon",1
"267","1997","8",29.8,"Avalon",1
"268","1997","9",61.2,"Avalon",1
"269","1997","10",44,"Avalon",1
"270","1997","11",61.8,"Avalon",1
"271","1997","12",1.8,"Avalon",1
"272","1998","1",58.4,"Avalon",0
"273","1998","2",23.6,"Avalon",0
"274","1998","3",4.2,"Avalon",0
"275","1998","4",47.2,"Avalon",0
"276","1998","5",20.2,"Avalon",0
"277","1998","6",56,"Avalon",0
"278","1998","7",26,"Avalon",1
"279","1998","8",14.4,"Avalon",1
"280","1998","9",22,"Avalon",1
"281","1998","10",43.6,"Avalon",1
"282","1998","11",57.4,"Avalon",1
"283","1998","12",24.6,"Avalon",1
"284","1999","1",25.2,"Avalon",0
"285","1999","2",61.2,"Avalon",0
"286","1999","3",50.6,"Avalon",0
"287","1999","4",18.6,"Avalon",0
"288","1999","5",46,"Avalon",0
"289","1999","6",31.4,"Avalon",0
"290","1999","7",13.6,"Avalon",1
"291","1999","8",58.2,"Avalon",1
"292","1999","9",25,"Avalon",1
"293","1999","10",43.4,"Avalon",1
"294","1999","11",23.8,"Avalon",1
"295","1999","12",58.8,"Avalon",1
"296","2000","1",20.4,"Avalon",0
"297","2000","2",38.6,"Avalon",0
"298","2000","3",5.8,"Avalon",0
"299","2000","4",46.2,"Avalon",0
"300","2000","5",45.8,"Avalon",0
"301","2000","6",31,"Avalon",0
"302","2000","7",38.6,"Avalon",1
"303","2000","8",23.4,"Avalon",1
"304","2000","9",50,"Avalon",1
"305","2000","10",35.6,"Avalon",1
"306","2000","11",17.2,"Avalon",1
"307","2000","12",9.8,"Avalon",1
"308","2001","1",13,"Avalon",0
"309","2001","2",25,"Avalon",0
"310","2001","3",78.8,"Avalon",0
"311","2001","4",97.4,"Avalon",0
"312","2001","5",15.8,"Avalon",0
"313","2001","6",36.2,"Avalon",0
"314","2001","7",12.6,"Avalon",1
"315","2001","8",51.2,"Avalon",1
"316","2001","9",30.8,"Avalon",1
"317","2001","10",52.2,"Avalon",1
"318","2001","11",42.6,"Avalon",1
"319","2001","12",44,"Avalon",1
"320","2002","1",13.2,"Avalon",0
"321","2002","2",35.6,"Avalon",0
"322","2002","3",26.4,"Avalon",0
"323","2002","4",34.6,"Avalon",0
"324","2002","5",24.8,"Avalon",0
"325","2002","6",23.2,"Avalon",0
"326","2002","7",38.4,"Avalon",1
"327","2002","8",25.6,"Avalon",1
"328","2002","9",27,"Avalon",1
"329","2002","10",21,"Avalon",1
"330","2002","11",17,"Avalon",1
"331","2002","12",7.2,"Avalon",1
"332","2003","1",22.8,"Avalon",0
"333","2003","2",20,"Avalon",0
"334","2003","3",19.6,"Avalon",0
"335","2003","4",60.2,"Avalon",0
"336","2003","5",8.6,"Avalon",0
"337","2003","6",12.6,"Avalon",0
"338","2003","7",71.2,"Avalon",1
"339","2003","8",53.8,"Avalon",1
"340","2003","9",20.8,"Avalon",1
"341","2003","10",80.6,"Avalon",1
"342","2003","11",23.6,"Avalon",1
"343","2003","12",26.8,"Avalon",1
"344","2004","1",24.8,"Avalon",0
"345","2004","2",26.8,"Avalon",0
"346","2004","3",18.2,"Avalon",0
"347","2004","4",54.2,"Avalon",0
"348","2004","5",18.8,"Avalon",0
"349","2004","6",40.2,"Avalon",0
"350","2004","7",29.2,"Avalon",1
"351","2004","8",63.6,"Avalon",1
"352","2004","9",55,"Avalon",1
"353","2004","10",40,"Avalon",1
"354","2004","11",81,"Avalon",1
"355","2004","12",52.8,"Avalon",1
"356","2005","1",48.4,"Avalon",0
"357","2005","2",133,"Avalon",0
"358","2005","3",7,"Avalon",0
"359","2005","4",19.4,"Avalon",0
"360","2005","5",9.8,"Avalon",0
"361","2005","6",50.8,"Avalon",0
"362","2005","7",32.6,"Avalon",1
"363","2005","8",45.6,"Avalon",1
"364","2005","9",43.2,"Avalon",1
"365","2005","10",37.4,"Avalon",1
"366","2005","11",47.8,"Avalon",1
"367","2005","12",28.2,"Avalon",1
"368","2006","1",46,"Avalon",0
"369","2006","2",27.4,"Avalon",0
"370","2006","3",8.6,"Avalon",0
"371","2006","4",34.4,"Avalon",0
"372","2006","5",23.4,"Avalon",0
"373","2006","6",23.6,"Avalon",0
"374","2006","7",23.8,"Avalon",1
"375","2006","8",33.4,"Avalon",1
"376","2006","9",26.6,"Avalon",1
"377","2006","10",7.2,"Avalon",1
"378","2006","11",20.2,"Avalon",1
"379","2006","12",8,"Avalon",1
"380","2007","1",38.4,"Avalon",0
"381","2007","2",16.4,"Avalon",0
"382","2007","3",24.2,"Avalon",0
"383","2007","4",27.4,"Avalon",0
"384","2007","5",26,"Avalon",0
"385","2007","6",42.8,"Avalon",0
"386","2007","7",90.8,"Avalon",1
"387","2007","8",18.6,"Avalon",1
"388","2007","9",21.8,"Avalon",1
"389","2007","10",18.8,"Avalon",1
"390","2007","11",89.6,"Avalon",1
"391","2007","12",48.2,"Avalon",1
"392","2008","1",9.2,"Avalon",0
"393","2008","2",21.6,"Avalon",0
"394","2008","3",24.4,"Avalon",0
"395","2008","4",5.8,"Avalon",0
"396","2008","5",34,"Avalon",0
"397","2008","6",28.2,"Avalon",0
"398","2008","7",43.8,"Avalon",1
"399","2008","8",37.6,"Avalon",1
"400","2008","9",15.8,"Avalon",1
"401","2008","10",10.2,"Avalon",1
"402","2008","11",25.2,"Avalon",1
"403","2008","12",61.8,"Avalon",1
"404","2009","1",1.4,"Avalon",0
"405","2009","2",2.6,"Avalon",0
"406","2009","3",32.8,"Avalon",0
"407","2009","4",26,"Avalon",0
"408","2009","5",11.8,"Avalon",0
"409","2009","6",24.8,"Avalon",0
"410","2009","7",30.8,"Avalon",1
"411","2009","8",48.2,"Avalon",1
"412","2009","9",70.6,"Avalon",1
"413","2009","10",22.8,"Avalon",1
"414","2009","11",80.2,"Avalon",1
"415","2009","12",30,"Avalon",1
"416","2010","1",9.2,"Avalon",0
"417","2010","2",24.8,"Avalon",0
"418","2010","3",46.4,"Avalon",0
"419","2010","4",29.8,"Avalon",0
"420","2010","5",29.2,"Avalon",0
"421","2010","6",34.6,"Avalon",0
"422","2010","7",17.2,"Avalon",1
"423","2010","8",65,"Avalon",1
"424","2010","9",54,"Avalon",1
"425","2010","10",101,"Avalon",1
"426","2010","11",120.8,"Avalon",1
"427","2010","12",26,"Avalon",1
"428","2011","1",124.4,"Avalon",0
"429","2011","2",109.6,"Avalon",0
"430","2011","3",20,"Avalon",0
"431","2011","4",41.4,"Avalon",0
"432","2011","5",23.6,"Avalon",0
"433","2011","6",37.8,"Avalon",0
"434","2011","7",25,"Avalon",1
"435","2011","8",19,"Avalon",1
"436","2011","9",39.8,"Avalon",1
"437","2011","10",85.2,"Avalon",1
"438","2011","11",141.4,"Avalon",1
"439","2011","12",28.8,"Avalon",1
"440","2012","1",19.6,"Avalon",0
"441","2012","2",55.2,"Avalon",0
"442","2012","3",24.2,"Avalon",0
"443","2012","4",30.2,"Avalon",0
"444","2012","5",68.6,"Avalon",0
"445","2012","6",90.8,"Avalon",0
"446","2012","7",48.8,"Avalon",1
"447","2012","8",56,"Avalon",1
"448","2012","9",57.2,"Avalon",1
"449","2012","10",24.6,"Avalon",1
"450","2012","11",27,"Avalon",1
"451","2012","12",32.4,"Avalon",1
"452","2013","1",3.4,"Avalon",0
"453","2013","2",54,"Avalon",0
"454","2013","3",4,"Avalon",0
"455","2013","4",10.2,"Avalon",0
"456","2013","5",25,"Avalon",0
"457","2013","6",75,"Avalon",0
"458","2013","7",53.4,"Avalon",1
"459","2013","8",36.8,"Avalon",1
"460","2013","9",53,"Avalon",1
"461","2013","10",44.4,"Avalon",1
"462","2013","11",52.2,"Avalon",1
"463","2013","12",23.4,"Avalon",1
"464","2014","1",13.6,"Avalon",0
"465","2014","2",11,"Avalon",0
"466","2014","3",18.8,"Avalon",0
"467","2014","4",63.4,"Avalon",0
"468","2014","5",31.4,"Avalon",0
"469","2014","6",58.6,"Avalon",0
"470","2014","7",19.8,"Avalon",1
"471","2014","8",32.2,"Avalon",1
"472","2014","9",25.4,"Avalon",1
"473","2014","10",23.6,"Avalon",1
"474","2014","11",50.6,"Avalon",1
"475","2014","12",NA,"Avalon",1
"476","2015","1",NA,"Avalon",0
"477","2015","2",44.2,"Avalon",0
"478","2015","3",NA,"Avalon",0
"479","2015","4",49.4,"Avalon",0
"480","2015","5",21.2,"Avalon",0
"481","2015","6",NA,"Avalon",0
"482","2015","7",NA,"Avalon",1
"483","2015","8",12,"Avalon",1
"484","2015","9",25.4,"Avalon",1
"485","2015","10",9,"Avalon",1
"486","2015","11",36.6,"Avalon",1
"487","2015","12",NA,"Avalon",1
"488","2016","1",NA,"Avalon",0
"489","2016","2",NA,"Avalon",0
"490","2016","3",21,"Avalon",0
"491","2016","4",NA,"Avalon",0
"492","2016","5",59,"Avalon",0
"493","2016","6",42.4,"Avalon",0
"494","2016","7",54.8,"Avalon",1
"495","1996","1",127.6,"Beechworth",0
"496","1996","2",60.6,"Beechworth",0
"497","1996","3",37.2,"Beechworth",0
"498","1996","4",36,"Beechworth",0
"499","1996","5",51.4,"Beechworth",0
"500","1996","6",94.4,"Beechworth",0
"501","1996","7",88.8,"Beechworth",1
"502","1996","8",68.6,"Beechworth",1
"503","1996","9",118,"Beechworth",1
"504","1996","10",55.6,"Beechworth",1
"505","1996","11",35.2,"Beechworth",1
"506","1996","12",25,"Beechworth",1
"507","1997","1",38.6,"Beechworth",0
"508","1997","2",9,"Beechworth",0
"509","1997","3",27.2,"Beechworth",0
"510","1997","4",4.2,"Beechworth",0
"511","1997","5",72.8,"Beechworth",0
"512","1997","6",25,"Beechworth",0
"513","1997","7",26.8,"Beechworth",1
"514","1997","8",70.6,"Beechworth",1
"515","1997","9",49.6,"Beechworth",1
"516","1997","10",18.6,"Beechworth",1
"517","1997","11",41.8,"Beechworth",1
"518","1997","12",4.4,"Beechworth",1
"519","1998","1",13.8,"Beechworth",0
"520","1998","2",29.8,"Beechworth",0
"521","1998","3",2.2,"Beechworth",0
"522","1998","4",78.2,"Beechworth",0
"523","1998","5",7,"Beechworth",0
"524","1998","6",65,"Beechworth",0
"525","1998","7",85.6,"Beechworth",1
"526","1998","8",47,"Beechworth",1
"527","1998","9",110,"Beechworth",1
"528","1998","10",50.2,"Beechworth",1
"529","1998","11",171.4,"Beechworth",1
"530","1998","12",73.2,"Beechworth",1
"531","1999","1",136,"Beechworth",0
"532","1999","2",7.4,"Beechworth",0
"533","1999","3",60.8,"Beechworth",0
"534","1999","4",23.4,"Beechworth",0
"535","1999","5",96.2,"Beechworth",0
"536","1999","6",62.2,"Beechworth",0
"537","1999","7",44.2,"Beechworth",1
"538","1999","8",113,"Beechworth",1
"539","1999","9",53.8,"Beechworth",1
"540","1999","10",59.8,"Beechworth",1
"541","1999","11",57.6,"Beechworth",1
"542","1999","12",111.2,"Beechworth",1
"543","2000","1",10,"Beechworth",0
"544","2000","2",38,"Beechworth",0
"545","2000","3",44.6,"Beechworth",0
"546","2000","4",48.2,"Beechworth",0
"547","2000","5",107,"Beechworth",0
"548","2000","6",48,"Beechworth",0
"549","2000","7",65.2,"Beechworth",1
"550","2000","8",90.6,"Beechworth",1
"551","2000","9",84.8,"Beechworth",1
"552","2000","10",73.8,"Beechworth",1
"553","2000","11",118.6,"Beechworth",1
"554","2000","12",15.2,"Beechworth",1
"555","2001","1",45.2,"Beechworth",0
"556","2001","2",81.8,"Beechworth",0
"557","2001","3",39,"Beechworth",0
"558","2001","4",39,"Beechworth",0
"559","2001","5",12.8,"Beechworth",0
"560","2001","6",67,"Beechworth",0
"561","2001","7",38.4,"Beechworth",1
"562","2001","8",51.2,"Beechworth",1
"563","2001","9",52,"Beechworth",1
"564","2001","10",130.8,"Beechworth",1
"565","2001","11",18.6,"Beechworth",1
"566","2001","12",9.4,"Beechworth",1
"567","2002","1",25.6,"Beechworth",0
"568","2002","2",59,"Beechworth",0
"569","2002","3",54.4,"Beechworth",0
"570","2002","4",23.4,"Beechworth",0
"571","2002","5",23.2,"Beechworth",0
"572","2002","6",45.6,"Beechworth",0
"573","2002","7",29.6,"Beechworth",1
"574","2002","8",27.2,"Beechworth",1
"575","2002","9",67.2,"Beechworth",1
"576","2002","10",9.4,"Beechworth",1
"577","2002","11",21.8,"Beechworth",1
"578","2002","12",10.6,"Beechworth",1
"579","2003","1",16.8,"Beechworth",0
"580","2003","2",8,"Beechworth",0
"581","2003","3",6.6,"Beechworth",0
"582","2003","4",67.6,"Beechworth",0
"583","2003","5",41,"Beechworth",0
"584","2003","6",74.4,"Beechworth",0
"585","2003","7",120.2,"Beechworth",1
"586","2003","8",109.2,"Beechworth",1
"587","2003","9",42.2,"Beechworth",1
"588","2003","10",88.8,"Beechworth",1
"589","2003","11",81.4,"Beechworth",1
"590","2003","12",132.2,"Beechworth",1
"591","2004","1",13.4,"Beechworth",0
"592","2004","2",6.4,"Beechworth",0
"593","2004","3",2.6,"Beechworth",0
"594","2004","4",16.2,"Beechworth",0
"595","2004","5",35.6,"Beechworth",0
"596","2004","6",88.8,"Beechworth",0
"597","2004","7",61.2,"Beechworth",1
"598","2004","8",51,"Beechworth",1
"599","2004","9",80,"Beechworth",1
"600","2004","10",13.2,"Beechworth",1
"601","2004","11",78,"Beechworth",1
"602","2004","12",145.4,"Beechworth",1
"603","2005","1",40.2,"Beechworth",0
"604","2005","2",185.8,"Beechworth",0
"605","2005","3",13,"Beechworth",0
"606","2005","4",11.6,"Beechworth",0
"607","2005","5",6,"Beechworth",0
"608","2005","6",122.4,"Beechworth",0
"609","2005","7",54.2,"Beechworth",1
"610","2005","8",101,"Beechworth",1
"611","2005","9",80.6,"Beechworth",1
"612","2005","10",130,"Beechworth",1
"613","2005","11",74.6,"Beechworth",1
"614","2005","12",49.4,"Beechworth",1
"615","2006","1",18,"Beechworth",0
"616","2006","2",12,"Beechworth",0
"617","2006","3",28.4,"Beechworth",0
"618","2006","4",32,"Beechworth",0
"619","2006","5",18.2,"Beechworth",0
"620","2006","6",33.6,"Beechworth",0
"621","2006","7",48,"Beechworth",1
"622","2006","8",24.4,"Beechworth",1
"623","2006","9",28.8,"Beechworth",1
"624","2006","10",0.6,"Beechworth",1
"625","2006","11",31,"Beechworth",1
"626","2006","12",3.4,"Beechworth",1
"627","2007","1",15.6,"Beechworth",0
"628","2007","2",31,"Beechworth",0
"629","2007","3",48.2,"Beechworth",0
"630","2007","4",29.2,"Beechworth",0
"631","2007","5",113.2,"Beechworth",0
"632","2007","6",47,"Beechworth",0
"633","2007","7",69.8,"Beechworth",1
"634","2007","8",14.6,"Beechworth",1
"635","2007","9",18.6,"Beechworth",1
"636","2007","10",17.2,"Beechworth",1
"637","2007","11",40.6,"Beechworth",1
"638","2007","12",50.4,"Beechworth",1
"639","2008","1",54.2,"Beechworth",0
"640","2008","2",23.2,"Beechworth",0
"641","2008","3",30,"Beechworth",0
"642","2008","4",16,"Beechworth",0
"643","2008","5",43.2,"Beechworth",0
"644","2008","6",14.8,"Beechworth",0
"645","2008","7",100.4,"Beechworth",1
"646","2008","8",40.1,"Beechworth",1
"647","2008","9",30.2,"Beechworth",1
"648","2008","10",11.6,"Beechworth",1
"649","2008","11",72,"Beechworth",1
"650","2008","12",47.5,"Beechworth",1
"651","2009","1",7.6,"Beechworth",0
"652","2009","2",14.8,"Beechworth",0
"653","2009","3",21.2,"Beechworth",0
"654","2009","4",56.6,"Beechworth",0
"655","2009","5",8.6,"Beechworth",0
"656","2009","6",80,"Beechworth",0
"657","2009","7",59.1,"Beechworth",1
"658","2009","8",54.4,"Beechworth",1
"659","2009","9",70.2,"Beechworth",1
"660","2009","10",36.6,"Beechworth",1
"661","2009","11",79.6,"Beechworth",1
"662","2009","12",20.5,"Beechworth",1
"663","2010","1",35.6,"Beechworth",0
"664","2010","2",154.2,"Beechworth",0
"665","2010","3",75.2,"Beechworth",0
"666","2010","4",34.2,"Beechworth",0
"667","2010","5",60.4,"Beechworth",0
"668","2010","6",39.6,"Beechworth",0
"669","2010","7",65.8,"Beechworth",1
"670","2010","8",90,"Beechworth",1
"671","2010","9",80,"Beechworth",1
"672","2010","10",158.6,"Beechworth",1
"673","2010","11",92.8,"Beechworth",1
"674","2010","12",150.2,"Beechworth",1
"675","2011","1",90.8,"Beechworth",0
"676","2011","2",218,"Beechworth",0
"677","2011","3",41.6,"Beechworth",0
"678","2011","4",30.4,"Beechworth",0
"679","2011","5",34,"Beechworth",0
"680","2011","6",33.4,"Beechworth",0
"681","2011","7",83.2,"Beechworth",1
"682","2011","8",76.3,"Beechworth",1
"683","2011","9",64.8,"Beechworth",1
"684","2011","10",29.6,"Beechworth",1
"685","2011","11",126.2,"Beechworth",1
"686","2011","12",70.2,"Beechworth",1
"687","2012","1",73.2,"Beechworth",0
"688","2012","2",114.6,"Beechworth",0
"689","2012","3",170.8,"Beechworth",0
"690","2012","4",18.8,"Beechworth",0
"691","2012","5",38,"Beechworth",0
"692","2012","6",27.4,"Beechworth",0
"693","2012","7",88.6,"Beechworth",1
"694","2012","8",68.6,"Beechworth",1
"695","2012","9",16.2,"Beechworth",1
"696","2012","10",45.8,"Beechworth",1
"697","2012","11",24,"Beechworth",1
"698","2012","12",50.2,"Beechworth",1
"699","2013","1",4.4,"Beechworth",0
"700","2013","2",28,"Beechworth",0
"701","2013","3",52.8,"Beechworth",0
"702","2013","4",12.6,"Beechworth",0
"703","2013","5",60.8,"Beechworth",0
